No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,5,100nF,"C6,C7,C8,C13,C16",CAP-TH_L5.8-W2.4-P2.54-D0.6,100nF,CC1H104ZA1ED3F5P1100,Dersonic(德尔创),C2832506,LCSC
2,2,12pF,"C9,C10",CAP-TH_L5.8-W2.4-P2.54-D0.6,12pF,CC1H104ZA1ED3F5P1100,Dersonic(德尔创),,LCSC
3,2,4.7uF,"C14,C15",CAP-TH_L5.8-W2.4-P2.54-D0.6,4.7uF,CC1H104ZA1ED3F5P1100,Dersonic(德尔创),,LCSC
4,1,jumper input,CN1,CONN-TH_B2B-PH-K-S,,B2B-PH-K-S-GW,JST,C5251182,LCSC
5,15,smd led 13blue 1red 1green,,LED0805-RD,,TJ-S2012EX8T5ALC2R-A5,TOGIALED(统佳),C48689647,LCSC
6,15,330Ω,"R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34",RES-TH_BD2.3-L6.5-P10.50-D0.5,330Ω,MF1/4W-1KΩ±1%T52,华星机电,,LCSC
7,1,10kΩ,R36,RES-TH_BD2.3-L6.5-P10.50-D0.5,10kΩ,MF1/4W-1KΩ±1%T52,华星机电,,LCSC
8,1,20kΩ,R40,RES-TH_BD2.3-L6.5-P10.50-D0.5,20kΩ,MF1/4W-1KΩ±1%T52,华星机电,,LCSC
9,2,5.1kΩ,"R41,R42",RES-TH_BD2.3-L6.5-P10.50-D0.5,5.1kΩ,MF1/4W-1KΩ±1%T52,华星机电,,LCSC
10,1,tactile switch,SW1,KEY-SMD_L4.0-W3.0-LS4.9-1,,HX 3x4x2-2P-1.6N TACTILE SWITCH,hanxia(韩下),C49234124,LCSC
11,2,74HC595N,"U5,U7",DIP-16_L19.8-W6.5-P2.54-LS7.6-BL,,74HC595N,HTC,C669328,LCSC
12,1,ATTINY85-20PU,U8,PDIP-8_L9.3-W6.4-P2.54-LS7.9-BL-1,,ATTINY85-20PU,MICROCHIP(美国微芯),C965497,LCSC
13,1,MCP73831T-2DCI/OT,U9,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,,MCP73831T-2DCI/OT,MICROCHIP(美国微芯),C625597,LCSC
14,1,TYPE-C 6P(073),USB1,TYPE-C-SMD_TYPE-C-6P-073,,TYPE-C 6P(073),SHOU HAN(首韩),C668623,LCSC
15,1,32.768kHz,X1,OSC-TH_BD2.0-P0.70-D0.3,32.768kHz,TAXD32768K2BGBBZT2S,YJX(雅晶鑫),C511702,LCSC
16,1,lipo-battery(dnp),not in schematic,square,≈100mah,-,-,-,-
17,1,wrist-strap(dnp),not in schematic,any strap,20cm,-,-,-,-
-,-,-,-,-,-,-,-,-,-
JST connector:,,,,,,,,,
https://www.lcsc.com/search?q=C5251182,,,,,,,,,
SMD LEDs:,,,,,,,,,
https://www.lcsc.com/search?q=C48689647,,,,,,,,,
Tactile switch:,,,,,,,,,
https://www.lcsc.com/search?q=C49234124,,,,,,,,,
74HC595N:,,,,,,,,,
https://www.lcsc.com/search?q=C669328,,,,,,,,,
ATtiny85-20PU:,,,,,,,,,
https://www.lcsc.com/search?q=C965497,,,,,,,,,
MCP73831T:,,,,,,,,,
https://www.lcsc.com/search?q=C625597,,,,,,,,,
USB-C:,,,,,,,,,
https://www.lcsc.com/search?q=C668623,,,,,,,,,
32.768kHz crystal:,,,,,,,,,
https://www.lcsc.com/search?q=C511702,,,,,,,,,
"*** Any brand works for watch strap, capacitor, resistor and lipo battery, personally I buy from shoppee and a local electronic market.",,,,,,,,,
